央视频道,#genre#
大爱一[1280*720],https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱二台[1280*720],https://pulltv1.wanfudaluye.com/live/tv2.m3u8
FOX新闻[1280*720],https://fox-foxnewsnow-samsungus.amagi.tv/playlist720p.m3u8
莲花卫视[1920*1080],http://nettvpro.live/hls/lotustv.php
好消息综合台[1280*720],https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch1-2.m3u8
原住民族[1280*720],http://streamipcf.akamaized.net/live/_definst_/live_720/chunklist_b1500.m3u8
地理野生[1920*1080],https://sc.id-tv.kz/NatGeoWildHD_34_35.m3u8
CNN新闻频道[1280*720],https://cnn-cnninternational-1-gb.samsung.wurl.com:443/manifest/playlist_1280x720_3000k.m3u8
世界频道,#genre#
半岛电视[1920*1080],https://live-hls-aje-ak.getaj.net/AJE/01.m3u8?zshijd
半岛电视[1280*720],https://live-hls-web-aje.getaj.net/AJE/02.m3u8?zshijd
半岛新闻[1280*720],http://live-hls-web-aja.getaj.net/AJA/02.m3u8?zshijd
俄罗斯GITV[1920*1080],http://hls-igi.cdnvideo.ru/igi/igi_hq/playlist.m3u8?zshijd
韩国职业广播[853*480],http://live.worktv.or.kr:1935/live/wowtvlive1.sdp/playlist.m3u8?zshijd
韩国BBS佛教广播[1920*1080],http://bbstv.clouducs.com:1935/bbstv-live/livestream/chunklist_w1403706733.m3u8?zshijd
韩国EBS_E频道[640*360],http://ebsonairios.ebs.co.kr/plus3tablet500k/tablet500k/plus3tablet500k.index.m3u8?zshijd
韩国EBS第二频道[640*360],http://ebsonairios.ebs.co.kr/ebs2tablet500k/tablet500k/ebs2tablet500k.index.m3u8?zshijd
韩国EBS第一频道[640*360],http://ebsonairios.ebs.co.kr/groundwavetablet500k/tablet500k/playlist.m3u8?zshijd
韩国EBS少儿童频道[640*360],http://ebsonairios.ebs.co.kr/ebsutablet500k/_definst_/tablet500k/chunklist_w1965791004.m3u8?zshijd
韩国TBS[1280*720],http://58.234.158.60:1935/catvlive/myStream/playlist.m3u8?zshijd
拉丁美洲CGTN[1024*576],http://livees.cgtn.com/1000e/prog_index.m3u8?zshijd
美国红牛运动[960*540],http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_1660.m3u8?zshijd
美国红牛运动[960*540],http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_1660.m3u8?zshijd
美国CGTN[1024*576],http://live.cgtn.com/500/prog_index.m3u8?zshijd
新加坡[1280*720],https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8?zshijd
新加坡[1280*720],https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8?zshijd
新加坡_CNA[1920*1080],http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?zshijd
新马Ⅰ亚洲新闻[1280*720],http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8?zshijd
亚洲[1920*1080],http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?zshijd
亚洲新闻[1280*720],http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8?zshijd
印尼_TVRIKanal3[1280*720],http://wpc.d1627.nucdn.net/80D1627/o-tvri/Content/HLS/Live/Channel(TVRI3)/Stream(03)/index.m3u8?zshijd
ANTV[1047*576],http://antvlive.ab5c6921.cdnviet.com/antv/chunklist.m3u8?zshijd
BloombergTV+2[1920*1080],https://liveprodusphoenixeast.akamaized.net/USPhx-HD/Channel-TX-USPhx-AWS-virginia-1/Source-USPhx-16k-1-s6lk2-BP-07-02-81ykIWnsMsg_live.m3u8?zshijd
CGTN Documentary[1024*576],https://livedoc.cgtn.com/500d/prog_index.m3u8?zshijd
CGTN Русский[1024*576],http://liveru.cgtn.com/1000r/prog_index.m3u8?zshijd
CGTN(Opt_1)[1024*576],http://live.cgtn.com/500/prog_index.m3u8?zshijd
CGTN阿拉伯语[1024*576],http://livear.cgtn.com/1000a/prog_index.m3u8?zshijd
CGTN俄语[1024*576],https://liveru.cgtn.com/1000r/prog_index.m3u8?zshijd
CGTN法语[1024*576],https://news.cgtn.com/resource/live/french/cgtn-f.m3u8?zshijd
CGTN法语[1024*576],https://livefr.cgtn.com/1000f/prog_index.m3u8?zshijd
